player_id,player,known_name,team,fpl_team_logo_url,position,season,fpl_minutes,fpl_goals,fpl_assists,fpl_clean_sheets,fpl_goals_conceded,fpl_saves,fpl_price_gbp,photo_url
1,David Raya Martín,Raya,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Goalkeeper,2026-27,450,0,0,3,4,9,6100000,https://resources.premierleague.com/premierleague/photos/players/110x140/p154561.png
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Goalkeeper,2026-27,0,0,0,0,0,0,4900000,https://resources.premierleague.com/premierleague/photos/players/110x140/p109745.png
3,Illan Meslier,Meslier,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Goalkeeper,2026-27,0,0,0,0,0,0,4900000,https://resources.premierleague.com/premierleague/photos/players/110x140/p437495.png
4,Gabriel dos Santos Magalhães,Gabriel,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,450,0,0,3,4,0,8000000,https://resources.premierleague.com/premierleague/photos/players/110x140/p226597.png
5,Jurriën Timber,J.Timber,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,104,0,0,0,3,0,6500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p445122.png
6,William Saliba,Saliba,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,0,0,0,0,0,0,5900000,https://resources.premierleague.com/premierleague/photos/players/110x140/p462424.png
7,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,271,0,0,2,1,0,5400000,https://resources.premierleague.com/premierleague/photos/players/110x140/p499169.png
8,Riccardo Calafiori,Calafiori,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,416,0,2,3,4,0,5800000,https://resources.premierleague.com/premierleague/photos/players/110x140/p466075.png
9,Piero Hincapié,Hincapie,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,32,0,0,0,0,0,5200000,
10,Benjamin White,White,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,315,0,1,2,1,0,5500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p198869.png
11,Cristhian Mosquera,Mosquera,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,168,0,0,2,0,0,5300000,
12,Bukayo Saka,Saka,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,416,3,0,3,4,0,9500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p223340.png
13,Declan Rice,Rice,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,411,0,2,3,4,0,7400000,https://resources.premierleague.com/premierleague/photos/players/110x140/p204480.png
14,Eberechi Eze,Eze,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,85,0,0,0,0,0,6300000,https://resources.premierleague.com/premierleague/photos/players/110x140/p232413.png
15,Martin Ødegaard,Ødegaard,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,377,2,0,3,4,0,6800000,https://resources.premierleague.com/premierleague/photos/players/110x140/p184029.png
16,Noni Madueke,Madueke,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,23,0,0,0,0,0,6200000,https://resources.premierleague.com/premierleague/photos/players/110x140/p248857.png
17,Mikel Merino Zazón,Merino,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,81,0,0,0,0,0,5800000,https://resources.premierleague.com/premierleague/photos/players/110x140/p195384.png
18,Gabriel Martinelli Silva,Martinelli,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,0,0,0,0,0,0,6300000,https://resources.premierleague.com/premierleague/photos/players/110x140/p444145.png
19,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,89,0,0,0,0,0,5300000,
20,Max Dowman,Dowman,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,9,0,0,0,0,0,5300000,
22,Ethan Nwaneri,Nwaneri,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,0,0,0,0,0,0,5400000,https://resources.premierleague.com/premierleague/photos/players/110x140/p499175.png
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,0,0,0,0,0,0,5500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p438098.png
24,Reiss Nelson,Nelson,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,0,0,0,0,0,0,5500000,https://resources.premierleague.com/premierleague/photos/players/110x140/p200641.png
25,Viktor Gyökeres,Gyökeres,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Forward,2026-27,29,0,0,0,0,0,7100000,https://resources.premierleague.com/premierleague/photos/players/110x140/p224117.png
26,Kai Havertz,Havertz,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Forward,2026-27,437,2,0,3,4,0,7600000,https://resources.premierleague.com/premierleague/photos/players/110x140/p219847.png
27,Gabriel Fernando de Jesus,G.Jesus,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Forward,2026-27,0,0,0,0,0,0,5900000,https://resources.premierleague.com/premierleague/photos/players/110x140/p205651.png
31,Ezri Konsa Ngoyo,Konsa,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Defender,2026-27,281,0,0,1,4,0,4600000,https://resources.premierleague.com/premierleague/photos/players/110x140/p199798.png
452,Bruno Guimarães Rodriguez Moura,Bruno G.,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,123,1,0,0,3,0,6700000,https://resources.premierleague.com/premierleague/photos/players/110x140/p208706.png
557,Christos Tzolis,Tzolis,Arsenal,https://resources.premierleague.com/premierleague/badges/70/t3.png,Midfielder,2026-27,362,0,2,2,4,0,6300000,https://resources.premierleague.com/premierleague/photos/players/110x140/p439509.png
